Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Microsoft Financial Data - FY17Q4,,,
,,,,
,"This file contains downloadable content that corresponds to Microsoft's Investor Relations portal at http://www.microsoft.com/investor. Click a link below to navigate to that section of the workbook. Each sheet contains a link back to this main page.
",,,
,,,,
,,,,
,,,,
,,,,
,Current Financial Statements,,,Trended Historical Financial Statements
,Income Statements,,,Quarterly Income Statements
,Comprehensive Income Statements,,,Segment History
,Balance Sheets,,,Unearned Revenue
,Cash Flows,,,Yearly Income Statements
,Segment Revenue & Operating Income,,,Return of Cash to Shareholders
,,,,Capital Expenditure
,,,,
,"Information contained in this document is current as of the earnings date July 20, 2017, and not restated for new accounting standards.",,,
